keyword,title,link,press,date
야놀자,해외 여행 수요 예측,https://www.yna.co.kr/view/PYH20251229086500013?input=1196m,연합뉴스,2분 전
아고다,해외숙박 예약 플랫폼 이용자 54.6% 피해 경험…환불·허위광고 불만 집...,https://www.nspna.com/news/?mode=view&newsid=795084,NSP통신,14분 전
